iteration,time,US-AK,US-AL,US-AR,US-AZ,US-CA,US-CO,US-CT,US-DC,US-DE,US-FL,US-GA,US-HI,US-IA,US-ID,US-IL,US-IN,US-KS,US-KY,US-LA,US-MA,US-MD,US-ME,US-MI,US-MN,US-MO,US-MS,US-MT,US-NC,US-ND,US-NE,US-NH,US-NJ,US-NM,US-NV,US-NY,US-OH,US-OK,US-OR,US-PA,US-RI,US-SC,US-SD,US-TN,US-TX,US-UT,US-VA,US-VT,US-WA,US-WI,US-WV,US-WY
1,2012-01-01 12:00:00,0.0,0.0,0.0,0.0,0.0,0.0,8.676668983520015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.803007888231763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.18989873617888,0.0,0.0,115.33740084243894,0.0,0.0,0.0,25.515703561202336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.76517057107123,0.0,0.0,0.0,0.0
2,2012-01-03 12:00:00,0.0,0.0,0.0,0.0,0.0,0.0,6.221412487824944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.443896135569267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.740505339074959,0.0,0.0,82.69984510605035,0.0,0.0,0.0,18.29547625999687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.982700095042254,0.0,0.0,0.0,0.0
3,2012-01-04 12:00:00,0.0017157172794190316,0.006792299078108688,0.002489937667317165,0.012915253260108582,0.053562292021990386,0.014075434807951216,5.043782145609114,0.002889104522863389,0.025413274385327315,0.040837640165918905,0.02196068034187851,0.0063611917136195215,0.003666097965136747,0.0018098939180630313,0.025801966542974474,0.006488047174819721,0.0020966254212509768,0.003137578250104905,0.004455633479085869,2.909150268079118,0.17573216893940036,8.052658182991473E-4,0.011535926284565111,0.009012718973904859,0.008006099131315874,0.0013604460226253308,8.634546412899157E-4,0.01223516758017983,8.826392011297559E-4,0.0017297688524710209,0.02971903753537288,7.295684564600566,0.0033399086684155416,0.005825044532798792,64.18511197274297,0.14278747327267566,0.004347814289760483,0.00531841217346354,14.860358047505658,0.03573364104335307,0.005544114594838474,8.905750762621588E-4,0.007572349116277213,0.035948165863367534,0.007118562557965372,0.009825174322381098,1.5633281804575776,0.010136913945047047,0.006674768951407218,0.03468239923390784,8.341106570525089E-4
4,2012-01-05 12:00:00,0.001975195926594376,0.007822950020715813,0.002874306089692742,0.014867291363270238,0.0617599017534913,0.016180093750591474,4.3221867626971235,0.0032886955119352055,0.04861189849102142,0.0470211550029815,0.025268514185985747,0.00728938307980254,0.0042268004323509105,0.002086086440425066,0.029726719223275067,0.007485109243661001,0.0024180623256798844,0.0036221299474258717,0.005142798324551721,2.6132260002161183,0.3344332119318805,9.305977899351769E-4,0.013318124827218033,0.010387135335604668,0.00923442994926768,0.0015720378640171977,9.97271873993448E-4,0.014113450390097268,0.0010178025212886604,0.001994296683574131,0.05633944497057334,6.471242339098172,0.00384982298280078,0.006675154796554355,51.93640304064402,0.2669797540136275,0.005015930925420813,0.006132251647309824,12.759506484202742,0.06791003267070214,0.0063892976418569915,0.00102713030300886,0.008734414138265817,0.04145772887557899,0.008182600103103578,0.011336326099815948,1.2924675408459059,0.011691641929557529,0.007698580598866357,0.06572774586739122,9.603703514888867E-4
5,2012-01-06 12:00:00,0.002619705807115924,0.010466421528086042,0.0038517079583711878,0.019653009834684574,0.0820050009525862,0.021396323214261832,3.7813770593939795,0.004710295609196621,0.06560484597614213,0.06234407886785336,0.03340403552544592,0.00964985076270253,0.005650757824565725,0.002779716015501971,0.039324806051929916,0.010591989138736664,0.0032593580711461523,0.0051651385888308214,0.006873559337323595,2.3908095114066863,0.45064355512937043,0.001368088018530831,0.018105933855434776,0.013746124159339993,0.01226430233661892,0.0021387549085303856,0.0013295064576572023,0.018729414674625394,0.0013563753703841241,0.0026687945400441226,0.07595102098328116,5.8480080677142965,0.005114741210880703,0.00873677346482456,42.908595346640496,0.36043027858874854,0.006696152267217284,0.008145000689437923,11.185657697324427,0.09154597323323577,0.008534341602871255,0.0013723515412601157,0.011612060072673699,0.05498596452975681,0.010830343653823701,0.015618593892906119,1.0913339493741927,0.015514378842070851,0.010276111041507545,0.08843236666984527,0.0012834253319809743
6,2012-01-07 12:00:00,0.002769040978094408,0.011183830282208347,0.004126139166831354,0.02068803508329986,0.0868406679800884,0.02252470303839872,3.325499100847192,0.005760232086869585,0.07654036415723915,0.06587490687333812,0.035161499705250905,0.010163307109841263,0.006034197124161721,0.0029562182274168554,0.04144311325214921,0.012537715935707093,0.003515526743503776,0.006176214089525024,0.007339616775487459,2.187745038426813,0.5241693496026015,0.001723587128939716,0.020065368375366068,0.014494854375900628,0.012992084242770364,0.0023334778812582656,0.0014154620040815141,0.019821943484686924,0.0014428521966061516,0.002853209831511174,0.08837664605480113,5.292221616525232,0.005419602771923301,0.009074931059897741,35.80019102984736,0.41984893455321187,0.0071390644110696875,0.008628663350688579,9.855827183584323,0.10653144441602716,0.009102712878526034,0.001464541634783611,0.012316709747578711,0.05814939492064275,0.011414493508013542,0.017731337361505804,0.9289110266903989,0.016417223323789483,0.010953480051972083,0.10253811298510461,0.0013693148766855522
7,2012-01-08 12:00:00,0.003026418942274339,0.012358629246215853,0.004568839770937653,0.022514946425814503,0.0950557586262282,0.02452502660265326,2.9242119619270377,0.0073223573046313295,0.08293171552915808,0.07196826660622715,0.03827091248793787,0.011080792258835062,0.006661763413670535,0.003250532092356043,0.04515149951668289,0.015394753411140978,0.003920714439708309,0.0076518502707022575,0.008100904845512182,1.9953198537018932,0.5663269494484419,0.0022370147651276004,0.023101551063942162,0.015798525044685437,0.014225296040105953,0.0026314784844642444,0.0015573807397213013,0.021685861409759675,0.001586594556513952,0.003154194408237339,0.09560488041020873,4.774884559277802,0.005936104453135194,0.009755263020210113,30.01879192148824,0.4559847100001154,0.007867506051619573,0.00944885427605206,8.683589268086507,0.11519343304396147,0.01003863090977113,0.0016157271306093633,0.013506517301717936,0.06355680898982226,0.012442986015156667,0.020926270784331295,0.7927846226288956,0.017954997134718265,0.012070676308065471,0.11043943112122566,0.0015108824736568011
8,2012-01-09 12:00:00,0.0030426530384915053,0.012578502254578168,0.004662282969682996,0.022526633742212327,0.09574839996221267,0.02454608958824445,2.5656823503841166,0.00862907248674621,0.08579158731156349,0.07232151009818308,0.03829583346730429,0.01110305206969785,0.006773953480795475,0.0032907144012203795,0.04524705657631689,0.01756422605487002,0.00403212187920163,0.008806579669899613,0.008237279549269604,1.8105598284955702,0.5838561476288273,0.002689898603616945,0.024698146838056125,0.01583687155464788,0.014334660885273591,0.0027401140812922547,0.0015783579827726433,0.021842577409798114,0.0016062664762491897,0.0032128212659936076,0.0986942510350323,4.288230899723207,0.005982883474027473,0.009622817968951352,25.234252262802446,0.4724302604334701,0.007985155900602739,0.009522180217882642,7.6339478606510225,0.11885504931614044,0.010195254741981796,0.0016418335814422748,0.013640765946410761,0.0639148868545297,0.012470215118223195,0.02295758267490238,0.6767700573566279,0.01806885138469081,0.012253491728904792,0.1134428887759119,0.0015350763083841056
9,2012-01-10 12:00:00,0.0030758758844855877,0.012859961786286022,0.004777830763374418,0.022669173625049645,0.0969551890991172,0.02471233240277189,2.245578848607545,0.00995973667940317,0.0861022209458279,0.07307805259440905,0.03854751843256503,0.011193828791028582,0.006918839842429058,0.0033479583146235493,0.04561759644791537,0.0197962527555851,0.00416191347909461,0.009996381063594703,0.008414330850268601,1.6358927317959806,0.5840291109453191,0.0031565859679127655,0.026434021345525454,0.015965372776250188,0.014521016241103444,0.0028607095567069547,0.0016074827275980854,0.022132169030996175,0.0016340148454198663,0.003287783126832403,0.0988965908973467,3.835010973258811,0.006061060188182707,0.00956409456534222,21.245579348666418,0.47549016404031447,0.008142096121845955,0.009646512505934828,6.695306615503788,0.11899914762043334,0.010402325922598096,0.0016760085766657988,0.013857664810634374,0.06461950252690442,0.012569988065405362,0.025086264282871567,0.577469990836687,0.018279807637316278,0.01250179255551675,0.11308157073205329,0.0015668607455731638
10,2012-01-11 12:00:00,0.0029911100387707175,0.012655358625893455,0.004714639699839029,0.021936106347259392,0.09446088774979698,0.023922626909468146,1.960478800427562,0.01097943745323089,0.08449104221669561,0.07102915692153258,0.03731261772514919,0.010850809668331497,0.006802107722238756,0.0032782189396859574,0.04425334532003632,0.02141754768885193,0.004137751192889205,0.010888256531662971,0.008275300351398797,1.471798477880228,0.5711196512654289,0.003540578591339208,0.027296161076413614,0.015480987500146464,0.014154346574337185,0.002878799571667868,0.0015762137980674794,0.02159565733182296,0.0015996510843290855,0.0032397466677516642,0.09689583053864059,3.415856121297143,0.0059072439583308335,0.009132960156500228,17.904953391654665,0.4677718593660786,0.00799111886256399,0.009402883270210416,5.857570827861683,0.11647370949162747,0.01021554305818468,0.0016469112411121672,0.01356055455299861,0.06285225879715031,0.012183855189994663,0.02639165916799042,0.49234977147247116,0.017792136711758957,0.012283117402136768,0.11019652439533859,0.0015391752537365075
