iteration,time,US-AK,US-AL,US-AR,US-AZ,US-CA,US-CO,US-CT,US-DC,US-DE,US-FL,US-GA,US-HI,US-IA,US-ID,US-IL,US-IN,US-KS,US-KY,US-LA,US-MA,US-MD,US-ME,US-MI,US-MN,US-MO,US-MS,US-MT,US-NC,US-ND,US-NE,US-NH,US-NJ,US-NM,US-NV,US-NY,US-OH,US-OK,US-OR,US-PA,US-RI,US-SC,US-SD,US-TN,US-TX,US-UT,US-VA,US-VT,US-WA,US-WI,US-WV,US-WY
1,2012-01-01 12:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,615.0000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2012-01-03 12:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,974.1963864724593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2012-01-04 12:00:00,0.021103323114386223,0.021178858136546748,0.01545562761130709,0.18325958453406982,0.6233963482771194,0.19182409396980915,12.478410152463896,0.07142707903225491,6.972463584048311E-5,0.5065611001537499,0.3330106711604674,0.07824266218566213,0.01273055642720821,0.015722905382028942,0.37153353246233434,0.03892958834426974,0.006013749841241669,0.01889537631277093,0.035594426596566635,7.004003565456395,0.08251329613089173,0.009296618112064415,0.15269114210433798,0.13735753260575173,0.10153650094270356,0.009976433311509126,0.011010682076476291,0.16289999086864873,0.005252589233316395,0.018267854590206578,0.01568223267778866,17.63806067412003,0.025176403924734445,0.19283510118949615,1349.070600938155,0.1478452799134244,0.027448264975870183,0.060183981502977005,36.7829199126566,0.020737268776223686,0.024949798858252874,0.005078277643715188,0.09085701088646954,0.4657024635512268,0.08240289879081096,0.12416795565926035,3.9734466703101345,0.12671871525375802,0.04278768486077647,0.002841278910499687,0.0037883718806662496
4,2012-01-05 12:00:00,0.03872421216645283,0.03900326603889537,0.028459675221608926,0.33619146508904124,1.1461034111846369,0.351512321776895,33.33033566888245,0.12957258226324625,1.2848058880247291E-4,0.9297589257153627,0.6105322742173727,0.1430186955466547,0.023445965266839702,0.02892885277639251,0.6820765659365156,0.07167859568820595,0.0110784866402748,0.03479835446826859,0.06552501101918398,18.59366936053699,0.15175277412123814,0.01711537893221783,0.2808265773933025,0.2522294898008506,0.18667910471316523,0.018375605751892152,0.02025861487336004,0.2994202943823593,0.009669119785700396,0.033617537370897524,0.028852078578274914,46.93925270782121,0.04631275248257795,0.3510681567579328,1746.3253167429937,0.27199359355973685,0.05052898276698351,0.11065845446295328,98.06961900270372,0.03811855855689113,0.045939542241027594,0.009349933362554418,0.16708980831652714,0.8557660255755755,0.15114657946671584,0.22830523407930273,10.614159345652773,0.23288018362208068,0.07876680180224745,0.00523461758300486,0.006974186351646339
5,2012-01-06 12:00:00,0.08457838896518759,0.092538242115658,0.06398157240837145,0.7313909655369497,2.508509475756326,0.7653139547784362,62.46652945497455,0.2780630053117642,0.2500726444382262,2.0303293544491883,1.3258596082278882,0.31208374559468394,0.05502975425377311,0.06398791548853194,1.483585580598349,0.16145204070683022,0.026526775121631676,0.07836827927420256,0.1454666096378587,35.95892578252297,2.0304478488568645,0.037482742589176485,0.6124371140346944,0.5479028796567005,0.407562842245871,0.040959410770116944,0.044230343805481666,0.6527865302566552,0.021788541079553626,0.07382659996610977,0.34773454458325703,89.94596811636818,0.10306854721245323,0.7512212171236826,2172.282006850225,1.9125808341453838,0.113483786899156,0.24241875572446328,183.92086308306284,0.427101754460421,0.1054655920619045,0.021123488254956895,0.3654049966108556,1.866986408322093,0.3306920148013526,0.4985009248889398,19.448837843410452,0.5085870411968785,0.17675587622515898,0.34521984164685,0.015999378651631826
6,2012-01-07 12:00:00,0.12939943633176093,0.1515648611609069,0.1005041769337196,1.115032858860009,3.849409034912682,1.166697954099984,100.23626697262523,0.41606612662810044,0.9393932842720999,3.106260504957368,2.0174514538903727,0.47590604047893426,0.08941680582039162,0.09911738137547174,2.262444358315101,0.2539886867610527,0.043755509212169044,0.12328937817952992,0.2261028305475276,59.981155487496196,6.886306877286378,0.057599461850148304,0.9371493232563168,0.8347275101226053,0.6240937779922301,0.06390379936178271,0.06776333132840046,0.998240840121372,0.034283013880156935,0.11368079343777263,1.1656962064996068,148.50402447106876,0.16044815260977421,1.1237571689189736,2631.2295553112594,5.862539971330679,0.17808338145107955,0.3723091164944704,295.37681910871544,1.4180103794965098,0.1684471267224783,0.0333099669918449,0.5604329522030574,2.85619706070287,0.506534896967515,0.7634634962523429,30.259259782093352,0.7787957499774625,0.2771802762721074,1.2712064422330591,0.025534865266838375
7,2012-01-08 12:00:00,0.20997986498250443,0.26766984830006835,0.1686628408872276,1.800616058424675,6.2633151011984936,1.8856098380488349,147.27725628898662,0.6904329717281834,2.2634054234744423,5.039469576463742,3.2511683441120454,0.7710536023624027,0.15636202510666075,0.16327089676077908,3.6532284251550333,0.46862999303540215,0.07812052077752077,0.22888009688220962,0.3741465943779859,92.04223678576867,16.123540653692196,0.10290057068143718,1.5486196490387052,1.3459191638482237,1.0125975509223593,0.10659071356262258,0.11000531563144522,1.616877975371105,0.057598207476950096,0.18589158713250709,2.7248659565831925,225.10717521948357,0.26589300097197055,1.778297451438601,3128.7835238919765,13.415960094935503,0.2982823130532878,0.6064213823103047,434.666249051847,3.3030547757112823,0.2884814866392598,0.056146699715944104,0.911172382815842,4.629428904569112,0.8233306086929457,1.279104275022983,42.974832523919076,1.2638547908279099,0.4638536670849276,3.0315981567953276,0.043707708189987815
8,2012-01-09 12:00:00,0.29468957068597185,0.4106787042565797,0.2459732104875455,2.5126327402627218,8.821563253115375,2.6329251965994676,204.27226412874626,1.0445788900106256,4.432263909292518,7.07100399008882,4.525660233989061,1.0789135610481173,0.23760616728772951,0.23320658951541642,5.09865778791925,0.8256997840036239,0.12133202808026017,0.4075170063127176,0.5373090065698493,133.33533351805085,30.955016343209955,0.1763608724211576,2.2747322662772467,1.875623001702753,1.4218006112812023,0.15476677036683867,0.15463029280913113,2.265654089190579,0.08402230410361705,0.26352399982106267,5.231378366908732,322.0113873263839,0.3820787683524607,2.4197200774753096,3670.017078043516,25.49748889018992,0.43385542353804074,0.8551603653437266,603.9505320407621,6.324698868586058,0.4293541916743563,0.08222135659275445,1.282500174713004,6.491164676169192,1.1572529530464504,1.9345725708543084,57.582219436163044,1.774651837401163,0.6740413758783387,5.868818093208006,0.06501877557058008
9,2012-01-10 12:00:00,0.4252764352453675,0.6413859115497043,0.3680329759265836,3.6054393270718785,12.767996210780398,3.781803380447227,272.14044858645696,1.6836143517093831,7.680297035836624,10.20115306981619,6.480587199330094,1.5542154277298916,0.368015481646146,0.34207542589960455,7.319018403758523,1.5277548336390265,0.1919429970394539,0.7621644869295576,0.7924008402683083,185.63660246613955,52.994013867142066,0.3219187525948237,3.4993870372629914,2.6876878608099215,2.0520342341586866,0.23145431596228258,0.22348151489269374,3.2657499552003864,0.1255755833666576,0.38415929827324014,8.970296143830055,442.25134288706226,0.5631435819402266,3.3964628979308213,4261.758420878026,43.683591622828544,0.6470305304383188,1.2391630433513514,806.4514568113052,10.821624866074083,0.6533810190695507,0.12338504044756228,1.8568200730908901,9.35562385223915,1.6721455894597246,3.0827614542378194,74.14505557758325,2.561278623648221,1.0051195053385222,10.057496283528309,0.09892732311031391
10,2012-01-11 12:00:00,0.5677831345767528,0.9305206013018505,0.5118289427865789,4.781426234100088,17.108365308514667,5.020187951919489,351.84906220153596,2.5805157074082583,12.265244418192594,13.6145922682725,8.574372442891217,2.069293622356282,0.5295212648801079,0.46533538974711297,9.720368854815687,2.667970919034503,0.2825652637954764,1.3453792618549016,1.084793743060591,250.5485852938732,83.70122542223965,0.5601838287274703,5.0984993506727925,3.560031745012665,2.7412343359709475,0.3226886059791042,0.29918337640151443,4.36267084643928,0.17421753591696731,0.5194854359888239,14.201555973947151,588.6608704266953,0.7694898340600689,4.387186806844653,4910.387867759941,69.1929603665088,0.8960154320310378,1.6626073068748906,1045.297476571152,17.089826858307074,0.9237703037064662,0.17200419640501047,2.49407684764531,12.475616958879845,2.2347274584035204,4.669990680669225,92.75704020216585,3.4208035198827793,1.3940515121350576,15.882982449477293,0.13985574916306046
11,2012-01-12 12:00:00,0.7697846203367549,1.350496201394505,0.7190930107179957,6.442507038114744,23.262923630234248,6.771581082632281,444.64148111462333,3.9955690590217303,18.476936071251988,18.450612627944185,11.532683670971425,2.8001399811247607,0.7634193993533988,0.6411806493392191,13.132372108775979,4.546317510731341,0.41590906742731215,2.3138962807933248,1.503597235115118,330.35919899230834,125.02380823084424,0.9596505702875971,7.575511658688193,4.792311117959512,3.718158230027372,0.45619667696102645,0.40680388995246447,5.932747449746126,0.24388028013277832,0.7129824716893247,21.284139118418857,764.9969903573698,1.0632589249607989,5.784559873582967,5624.367169720395,104.01086202627141,1.2531183560262007,2.263342228687438,1324.8280829452676,25.54123163284394,1.3137230555642019,0.24191073427751836,3.409824013271114,16.89248279749219,3.031298429611611,7.161035640787539,113.58159940051435,4.638324027682055,1.957574782218046,23.678695585304336,0.19890283121793936
12,2012-01-13 12:00:00,0.9951382299017586,1.8749185437820532,0.9670023515991708,8.269224341321566,30.1776473825067,8.70135934389002,551.8341103510886,5.930661828457096,26.636686862255605,23.840579281712024,14.774333709312195,3.610389976376223,1.0529712856473346,0.8440982503714254,16.935700487344633,7.348721290367941,0.5863251085764655,3.7735651942214505,1.9929222017482098,427.2080157574293,178.78077869770192,1.5661517869016555,10.8839927229735,6.146688698166127,4.811114336151644,0.6191861256317727,0.5280804587649323,7.719740935572806,0.3263707126070058,0.9353881488685071,30.56007640854472,974.8578330554055,1.403075496596244,7.239314001109708,6411.805249471824,149.77187246863934,1.6759369014638463,2.9399405647491763,1649.3354751402603,36.549620280311274,1.7876883619479544,0.3254642037662793,4.465976226059301,21.81019953475789,3.9195181043174356,10.576774070317878,136.8069574055795,5.997989162739393,2.6373172322128333,33.80093933906893,0.2706066929339491
13,2012-01-14 12:00:00,1.2983359943071073,2.591382061739406,1.3050173739343152,10.719274181728027,39.48336134059397,11.292125267618292,675.0732646638531,8.706235169675796,37.10752287229192,31.08851229205042,19.126242112118195,4.7011517123009785,1.4480893597909243,1.1184206546266313,22.098406768402356,11.49958703814181,0.8220043937312329,5.951825393037457,2.6570729562306754,544.0444489995579,247.37364820056547,2.482522652937292,15.68882574759088,7.965225680819517,6.28332703220851,0.8457068750010261,0.6919789535009553,10.173045811835392,0.4379893882740836,1.2373940572671012,42.492386008989435,1222.9351885326942,1.860817389452702,9.194490138320988,7283.276711738706,209.01091734507798,2.249273381449399,3.850839031444185,2024.5251938953572,50.627134305297766,2.4335397478960603,0.43897283077881305,5.922990974533824,28.420823460048673,5.11221843878693,15.5217371517117,162.6938675292716,7.826487346162686,3.577495343181197,46.670160754200026,0.36812129414823463
14,2012-01-15 12:00:00,1.6413423636169142,3.4794401348309076,1.7116333145022233,13.452511503983379,50.07716637752749,14.188032645374156,816.1141170663549,12.357178203160412,50.29423755805569,39.27899917662313,23.970281233252475,5.928202911623959,1.9353914911364636,1.4381938197669768,27.99268066372079,17.30814774795031,1.1202594656078664,9.026956070309303,3.440587941030759,683.7101596859547,333.10851737347673,3.7911662391301304,22.06355436404232,9.995893893607377,7.956078510939718,1.1256624972177929,0.8796313786645771,13.047903578566,0.5706655318872682,1.5894756198633182,57.537195381718014,1513.822690499389,2.394130348761699,11.271497090722361,8249.140866554011,283.9303987119258,2.9315825580437966,4.890142223853865,2456.1352759255524,68.25438204778587,3.22044778812878,0.5751190984539487,7.654160528570284,35.88555514513464,6.458894265834983,22.119239138692507,191.52844872685876,9.89687345158595,4.732125990258589,62.74340092253247,0.4863895258267551
15,2012-01-16 12:00:00,2.086930959648816,4.646795393813642,2.246198707729016,16.992547362765897,63.84347173858646,17.9415757139702,977.1099421263539,17.273281535506975,66.65555240611444,49.912960540011866,30.253821695473114,7.5225580741728475,2.5766683893001847,1.8552919149963212,35.762740750514475,25.361510142657707,1.5165897340031618,13.320573859240966,4.466752351142536,850.008908504367,438.98821753038305,5.64324232434808,30.891620945302158,12.631719478900532,10.135244821469218,1.5018375496096472,1.1247666713322106,16.89002251487944,0.7436683979449806,2.051253627507938,76.29768177215117,1853.4134668630074,3.0868239311867227,13.971198431436312,9322.686918570034,377.79390664292646,3.8232996103894172,6.241132059309665,2951.5706630486,90.07722726433221,4.25669651529399,0.7533490429943632,9.980210491971235,45.57669779682121,8.203945630765096,31.152721289605793,223.6772958466883,12.58568414191871,6.2845052828192385,82.56072511979801,0.6411647651594481
16,2012-01-17 12:00:00,2.595678502945728,6.08347524163911,2.890244328847718,20.981008922554608,79.64855513087089,22.178427072358847,1160.3719901786208,23.530329687789045,86.70510760761096,62.03970791034599,37.32742861160364,9.333668512237912,3.3650994576651465,2.344127206633925,44.79781535363584,36.13508059343295,2.0130634842701243,19.109785734209403,5.683081020943234,1046.6978772220461,567.9658893859026,8.1738122147091,42.425729724169464,15.609715933544027,12.639689077522503,1.969228209033948,1.4083624564979127,21.485001772475343,0.9494689467579173,2.5940192063908754,99.38359220012072,2247.5892204861893,3.896767834472924,16.884858427751368,10517.185296601094,493.5672678791557,4.885902348825565,7.795303972300253,3518.3888964236357,116.7197364077036,5.521729291702433,0.9671719908612681,12.79908700331707,56.623295022430824,10.19029315210503,42.887606734269816,259.5371657942206,15.658013459634391,8.212631486736027,106.71563628888711,0.8282113676715299
